,Time,xVolt,yVolt
429,1079,1650,1659
430,1082,1643,1650
431,1085,1653,1650
432,1088,1656,1650
433,1090,1659,1656
434,1093,1659,1659
435,1096,1643,1650
436,1098,1650,1646
437,1101,1643,1646
438,1104,1646,1656
439,1106,1659,1656
440,1109,1656,1653
441,1111,1659,1656
442,1114,1643,1662
443,1117,1646,1640
444,1119,1659,1646
445,1122,1653,1659
446,1126,1659,1650
447,1128,1656,1669
448,1131,1659,1659
449,1134,1646,1643
450,1136,1653,1659
451,1139,1662,1653
452,1142,1643,1656
453,1144,1653,1650
454,1147,1653,1643
455,1150,1656,1646
456,1152,1650,1653
457,1155,1643,1653
458,1158,1653,1662
459,1160,1650,1653
460,1163,1659,1646
461,1166,1650,1650
462,1169,1656,1650
463,1172,1662,1653
464,1175,1653,1653
465,1177,1656,1653
466,1180,1646,1646
467,1183,1662,1653
468,1185,1656,1653
469,1188,1653,1672
470,1191,1656,1659
471,1193,1653,1650
472,1196,1659,1653
473,1198,1640,1650
474,1201,1646,1656
475,1204,1646,1659
476,1206,1662,1662
477,1210,1662,1653
478,1213,1650,1650
479,1215,1650,1650
480,1218,1646,1646
481,1221,1646,1653
482,1223,1643,1662
483,1226,1650,1666
484,1229,1659,1653
485,1231,1659,1646
486,1234,1653,1650
487,1237,1666,1653
488,1239,1646,1662
489,1242,1653,1643
490,1245,1650,1659
491,1247,1646,1643
492,1250,1656,1662
493,1254,1646,1662
494,1256,1656,1659
495,1259,1650,1643
496,1262,1643,1653
497,1264,1656,1656
498,1267,1653,1656
499,1270,1653,1650
500,1272,1659,1659
501,1275,1650,1643
502,1278,1662,1650
503,1280,1643,1646
504,1283,1637,1659
505,1285,1656,1653
506,1288,1653,1656
507,1291,1653,1659
508,1293,1653,1662
509,1297,1653,1653
510,1300,1643,1662
511,1302,1653,1666
512,1305,1672,1650
513,1308,1656,1653
514,1310,1653,1659
515,1313,1656,1650
516,1316,1650,1656
517,1318,1643,1653
518,1321,1659,1653
519,1324,1656,1662
520,1326,1646,1653
521,1329,1643,1653
522,1332,1650,1646
523,1334,1653,1656
524,1338,1659,1646
525,1341,1653,1646
526,1343,1656,1666
527,1346,1653,1650
528,1349,1646,1656
529,1351,1640,1650
530,1354,1650,1653
531,1357,1646,1653
532,1359,1656,1659
533,1362,1653,1650
534,1365,1653,1650
535,1367,1643,1643
536,1370,1650,1659
537,1372,1650,1662
538,1375,1640,1650
539,1378,1650,1646
540,1381,1646,1650
541,1384,1650,1656
542,1387,1653,1650
543,1389,1662,1650
544,1392,1650,1656
545,1395,1653,1656
546,1397,1646,1656
547,1400,1643,1646
548,1403,1643,1656
549,1405,1653,1653
550,1408,1650,1659
551,1411,1646,1643
552,1413,1637,1650
553,1416,1646,1653
554,1419,1656,1656
555,1421,1653,1650
556,1425,1653,1650
557,1428,1659,1653
558,1430,1656,1656
559,1433,1653,1653
560,1436,1653,1650
561,1438,1650,1666
562,1441,1669,1653
563,1444,1666,1662
564,1446,1643,1656
565,1449,1650,1650
566,1452,1650,1650
567,1454,1650,1653
568,1457,1643,1653
569,1459,1653,1659
570,1462,1646,1650
571,1466,1646,1662
572,1468,1640,1650
573,1471,1656,1656
574,1474,1656,1646
575,1476,1659,1662
576,1479,1646,1662
577,1482,1650,1646
578,1484,1653,1646
579,1487,1653,1653
580,1490,1646,1646
581,1492,1659,1669
582,1495,1653,1656
583,1498,1650,1656
584,1500,1650,1653
585,1503,1653,1656
586,1506,1653,1659
587,1509,1650,1650
588,1512,1659,1656
589,1515,1650,1650
590,1517,1646,1650
591,1520,1653,1653
592,1523,1656,1643
593,1525,1656,1653
594,1528,1656,1643
595,1531,1646,1650
596,1533,1650,1646
597,1536,1656,1656
598,1539,1659,1653
599,1541,1653,1650
600,1544,1662,1662
601,1546,1637,1659
602,1549,1646,1650
603,1553,1640,1659
604,1555,1659,1656
605,1558,1650,1659
606,1561,1659,1650
607,1563,1656,1650
608,1566,1650,1650
609,1569,1650,1646
610,1571,1646,1650
611,1574,1653,1650
612,1577,1656,1659
613,1579,1656,1643
614,1582,1640,1659
615,1585,1662,1643
616,1587,1653,1653
617,1590,1646,1650
618,1594,1640,1662
619,1596,1650,1643
620,1599,1650,1662
621,1602,1646,1646
622,1604,1653,1656
623,1607,1646,1662
624,1610,1653,1656
625,1612,1650,1653
626,1615,1646,1653
627,1618,1653,1650
628,1620,1653,1662
629,1623,1659,1650
630,1626,1653,1653
631,1628,1659,1650
632,1631,1643,1656
633,1633,1653,1653
634,1637,1656,1659
635,1640,1653,1653
636,1642,1653,1656
637,1645,1650,1650
638,1648,1643,1653
639,1650,1659,1659
640,1653,1643,1653
641,1656,1659,1656
642,1658,1656,1656
643,1661,1656,1656
644,1664,1650,1662
645,1666,1650,1650
646,1669,1653,1659
647,1672,1653,1656
648,1674,1653,1659
649,1677,1653,1653
650,1681,1643,1653
651,1683,1653,1650
652,1686,1653,1646
653,1689,1630,1659
654,1691,1659,1646
655,1694,1653,1646
656,1697,1637,1653
657,1699,1650,1650
658,1702,1653,1650
659,1705,1653,1659
660,1707,1643,1662
661,1710,1653,1643
662,1713,1650,1653
663,1715,1653,1653
664,1718,1656,1659
665,1720,1659,1659
666,1724,1662,1666
667,1727,1672,1656
668,1729,1646,1653
669,1732,1643,1650
670,1735,1650,1656
671,1737,1650,1653
672,1740,1659,1659
673,1743,1650,1650
674,1745,1650,1653
675,1748,1656,1646
676,1751,1653,1656
677,1753,1656,1659
678,1756,1640,1646
679,1759,1656,1653
680,1761,1653,1653
681,1765,1653,1653
682,1768,1646,1643
683,1770,1653,1659
684,1773,1650,1656
685,1776,1666,1656
686,1778,1650,1659
687,1781,1646,1653
688,1784,1643,1650
689,1786,1650,1650
690,1789,1659,1653
691,1792,1653,1650
692,1794,1653,1653
693,1797,1650,1653
694,1800,1646,1646
695,1802,1656,1659
696,1805,1650,1659
697,1808,1659,1653
698,1811,1656,1650
699,1814,1656,1653
700,1816,1646,1656
701,1819,1643,1646
702,1822,1675,1646
703,1824,1659,1659
704,1827,1650,1653
705,1830,1653,1646
706,1832,1643,1646
707,1835,1656,1653
708,1838,1650,1646
709,1840,1646,1662
710,1843,1650,1653
711,1846,1653,1643
712,1848,1646,1650
713,1852,1650,1662
714,1855,1650,1656
715,1857,1653,1659
716,1860,1669,1656
717,1863,1646,1653
718,1865,1643,1656
719,1868,1662,1646
720,1871,1659,1656
721,1873,1656,1656
722,1876,1650,1662
723,1879,1646,1646
724,1881,1653,1650
725,1884,1646,1653
726,1887,1653,1659
727,1889,1653,1646
728,1893,1653,1662
729,1895,1650,1662
730,1898,1640,1653
731,1901,1653,1643
732,1903,1653,1662
733,1906,1656,1656
734,1909,1659,1646
735,1911,1646,1653
736,1914,1650,1653
737,1917,1650,1646
738,1919,1643,1653
739,1922,1650,1656
740,1925,1653,1659
741,1927,1646,1653
742,1930,1650,1653
743,1933,1653,1653
744,1936,1653,1653
745,1939,1656,1646
746,1942,1653,1653
747,1944,1650,1659
748,1947,1653,1640
749,1950,1643,1656
750,1952,1646,1656
751,1955,1653,1656
752,1958,1653,1662
753,1960,1653,1656
754,1963,1659,1656
755,1966,1643,1659
756,1968,1659,1640
757,1971,1656,1650
758,1974,1656,1653
759,1976,1656,1656
760,1980,1643,1637
761,1982,1650,1650
762,1985,1659,1650
763,1988,1650,1659
764,1990,1656,1646
765,1993,1653,1650
766,1996,1653,1656
767,1998,1646,1653
768,2001,1653,1653
769,2004,1659,1659
770,2006,1650,1653
771,2009,1650,1656
772,2012,1643,1653
773,2014,1656,1656
774,2017,1650,1653
775,2021,1656,1650
776,2023,1640,1669
777,2026,1659,1662
778,2029,1650,1637
779,2031,1653,1653
780,2034,1643,1659
781,2037,1662,1656
782,2039,1653,1656
783,2042,1653,1646
784,2045,1646,1653
785,2047,1637,1656
786,2050,1650,1646
787,2053,1646,1672
788,2055,1659,1659
789,2058,1653,1646
790,2061,1646,1650
791,2064,1653,1650
792,2067,1646,1653
793,2069,1656,1650
794,2072,1653,1653
795,2075,1653,1643
796,2077,1656,1653
797,2080,1646,1646
798,2083,1643,1659
799,2085,1643,1650
800,2088,1653,1662
801,2091,1659,1662
802,2093,1659,1656
803,2096,1646,1662
804,2099,1633,1646
805,2101,1646,1650
806,2104,1646,1662
807,2108,1659,1662
808,2110,1653,1650
809,2113,1656,1656
810,2116,1662,1646
811,2118,1646,1662
812,2121,1659,1656
813,2124,1656,1650
814,2126,1653,1650
815,2129,1662,1653
816,2132,1650,1653
817,2134,1653,1643
818,2137,1656,1659
819,2140,1650,1650
820,2142,1650,1669
821,2145,1653,1656
822,2149,1650,1653
823,2151,1653,1643
824,2154,1650,1656
825,2156,1659,1659
826,2159,1653,1650
827,2162,1656,1659
828,2164,1653,1650
829,2167,1653,1646
830,2170,1659,1650
831,2172,1650,1653
832,2175,1653,1653
833,2178,1650,1656
834,2180,1656,1659
835,2183,1650,1653
836,2186,1633,1646
837,2188,1653,1653
838,2192,1653,1653
839,2195,1653,1662
840,2197,1662,1643
841,2200,1650,1650
842,2203,1656,1653
843,2205,1656,1656
844,2208,1646,1669
845,2211,1653,1662
846,2213,1659,1653
847,2216,1640,1650
848,2219,1656,1640
849,2221,1653,1659
850,2224,1656,1662
851,2227,1653,1646
852,2229,1640,1653
